SdkName,SdkType,Metric,Run,Value
firebase,Analytics,CPU,9,2.4
firebase,Analytics,CPU,10,4.35
firebase,Analytics,CPU,11,1.57142857142857
firebase,Analytics,CPU,12,1.66666666666667
firebase,Analytics,CPU,13,5.05
firebase,Analytics,CPU,14,0.85
firebase,Analytics,CPU,15,3.35
firebase,Analytics,CPU,16,3.38095238095238
firebase,Analytics,CPU,17,2.85714285714286
firebase,Analytics,CPU,18,2
firebase,Analytics,CPU,19,2.45
firebase,Analytics,CPU,20,1.2
firebase,Analytics,CPU,21,1.66666666666667
firebase,Analytics,CPU,22,0.857142857142857
firebase,Analytics,CPU,23,1.57142857142857
firebase,Analytics,CPU,24,1.65
firebase,Analytics,CPU,25,1.19047619047619
firebase,Analytics,CPU,26,3.65
firebase,Analytics,CPU,27,1.14285714285714
firebase,Analytics,CPU,28,0.818181818181818
firebase,Analytics,CPU,29,2
firebase,Analytics,CPU,30,1.36363636363636
flurry,Analytics,CPU,1,1.54545454545455
flurry,Analytics,CPU,2,1.40909090909091
flurry,Analytics,CPU,3,1.38095238095238
flurry,Analytics,CPU,4,1.80952380952381
flurry,Analytics,CPU,5,1.18181818181818
flurry,Analytics,CPU,6,1.33333333333333
flurry,Analytics,CPU,7,1.36363636363636
flurry,Analytics,CPU,8,1.42857142857143
flurry,Analytics,CPU,9,1.42857142857143
flurry,Analytics,CPU,10,1.47619047619048
flurry,Analytics,CPU,11,1.61904761904762
flurry,Analytics,CPU,12,1.47619047619048
flurry,Analytics,CPU,13,1.27272727272727
flurry,Analytics,CPU,14,1.57142857142857
flurry,Analytics,CPU,15,1.68181818181818
flurry,Analytics,CPU,16,1.09090909090909
flurry,Analytics,CPU,17,1.27272727272727
flurry,Analytics,CPU,18,1.77272727272727
flurry,Analytics,CPU,19,1.71428571428571
flurry,Analytics,CPU,20,1.57142857142857
flurry,Analytics,CPU,21,1.61904761904762
flurry,Analytics,CPU,22,1.72727272727273
flurry,Analytics,CPU,23,1.47619047619048
flurry,Analytics,CPU,24,1.71428571428571
flurry,Analytics,CPU,25,1.52380952380952
flurry,Analytics,CPU,26,1.38095238095238
flurry,Analytics,CPU,27,1.18181818181818
flurry,Analytics,CPU,28,1.59090909090909
flurry,Analytics,CPU,29,1.66666666666667
flurry,Analytics,CPU,30,1.57142857142857
google,Analytics,CPU,1,1.52380952380952
google,Analytics,CPU,2,1.14285714285714
google,Analytics,CPU,3,1
google,Analytics,CPU,4,1.36363636363636
google,Analytics,CPU,5,1.40909090909091
google,Analytics,CPU,6,1.38095238095238
google,Analytics,CPU,7,1.38095238095238
google,Analytics,CPU,8,1.45
google,Analytics,CPU,9,1.09090909090909
google,Analytics,CPU,10,1.4
google,Analytics,CPU,11,1.38095238095238
google,Analytics,CPU,12,1.47619047619048
google,Analytics,CPU,13,1.38095238095238
google,Analytics,CPU,14,1.66666666666667
google,Analytics,CPU,15,1.27272727272727
google,Analytics,CPU,16,1.0952380952381
google,Analytics,CPU,17,1.18181818181818
google,Analytics,CPU,18,1.05
google,Analytics,CPU,19,1.45
google,Analytics,CPU,20,1.28571428571429
google,Analytics,CPU,21,1.23809523809524
google,Analytics,CPU,22,1.0952380952381
google,Analytics,CPU,23,1.28571428571429
google,Analytics,CPU,24,1.47619047619048
google,Analytics,CPU,25,1.47619047619048
google,Analytics,CPU,26,1.19047619047619
google,Analytics,CPU,27,1.45
google,Analytics,CPU,28,1.66666666666667
google,Analytics,CPU,29,1.23809523809524
google,Analytics,CPU,30,1.42857142857143
firebase,Analytics,Energy,1,211.17986546718
firebase,Analytics,Energy,2,212.390626547913
